,0
0,0.11274131274131273
1,0.1425500432731232
2,0.1631823126258265
3,0.11335472132317362
4,0.13416441506179938
5,0.11274131274131273
6,0.16190921765104327
7,0.16335738163895464
8,0.13463779436078466
9,0.11274131274131273
